ID number,Biggest_Challenge,Inflation_Challenge,Unemployment_Challenge,NHS_Challenge,Education_Challenge,Security_Challenge,Tax_Challenge,Crime_Challenge,ClimateChange_Challenge,Energy_Challenge,Energy_thought,Renewable_thought,Lights_on,Boil_kettle,Wash_clothes,Room_temp,Heat_on,Glazing,Biomass_boiler,Air_source_heat_pump,Ground_source_heat_pump,Solar_thermal,Rep_old_boiler,Smart_meter,Electric_car,Renew_Econ_benefit,Renew_energy_dev,Renew_energy_dev_comm,Support_wind_onshore,Support_biomass,Support_wind_offshore,Support_waveTidal,Support_solar,Nuclear_ClimateChange,Nuclear_afford_energy,Nuclear_Economic,Nuclear_benefit_risk,CCS,Energy_Bill_cost,Food_Cost,Transport_costs,Mortgage_Rent_costs,ClimChange_concerns,ClimChange_cause,Future_energy_price,Future_power_cuts,Future_fossilfuel_supply,Future_energy_dependence,Future_altEnergy_invest,Future_altEnergy_dev,Energy_source_mix,Property_type ,Heating_method_prim,Number_Adults,Number_people,Children,Gender,Tenure ,Working_status,Age,Area,Income
11,Unemployment,No,Yes,No,Yes,No,No,Yes,No,No,None at all,Support,Quite often ,Occasionally,Never,Quite often ,Never,No,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,No - I have never heard of them,I have never heard of electric cars or vans,Slightly agree,Strongly agree,Slightly agree,Support,Neither support nor oppose,Support,Support,Support,Slightly disagree,Slightly agree,Slightly agree,The risks far outweigh the benefits ,Never heard of it ,Don't know,Don't know,Not very worried,Don't know,Fairly concerned,Climate change is mainly caused by human activity,Fairly concerned,Very concerned,Not very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Semi Detached Property,,3,4,Child,Female,Other,Full time education,16-24,Urban,NA
12,Unemployment,No,Yes,No,No,No,No,Yes,No,Yes,A fair amount,Support,Always ,Never,Never,Occasionally,Occasionally,Yes,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly oppose ,Neither support nor oppose,Strongly oppose ,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Very worried,Very worried,Fairly worried,Fairly concerned,Don't know,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Don't know,Don't know,Strongly agree,Semi Detached Property,Gas,2,2,No child,Male,Being bought on mortgage,Full time,55-64,Urban,25000
13,Level of taxation,No,No,Yes,Yes,No,Yes,No,No,No,A fair amount,Neither support nor oppose,Never,Occasionally,Never,Quite often ,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly disagree,Strongly disagree,Strongly agree,Strongly oppose ,Neither support nor oppose,Strongly support,Strongly support,Strongly support,Strongly agree,Strongly agree,Strongly agree,The benefits far outweigh the risks,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Not very concerned,Not very concerned,Very concerned,Not very concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,2,3,Child,Male,Rented from private landlord,Full time,45-54,Rural,25000
14,National Health Service,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Neither support nor oppose,Never,Always ,Never,Never,Never,Yes,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Don't know,Don't know,Neither agree nor disagree,Support,Support,Support,Support,Support,Don't know,Don't know,Don't know,Don't know,Aware of it but don't really know what it is ,Fairly worried,Not very worried,Not at all worried,Not at all worried,Fairly concerned,Don't know,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Semi Detached Property,Gas,1,1,No child,Female,Rented from local authority,Retired,65,Urban,15999
15,National security\defence,Yes,No,No,No,Yes,Yes,No,No,No,A lot,Neither support nor oppose,Never,Never,Quite often ,Never,Never,No,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Strongly disagree,Strongly disagree,Neither agree nor disagree,Support,Neither support nor oppose,Support,Support,Oppose ,Slightly agree,Strongly agree,Slightly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Not at all worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Detached Property,Gas,2,2,No child,Male,Owned outright by household,Retired,65,Urban,NA
16,Unemployment,Yes,Yes,No,Yes,No,No,No,No,No,A fair amount,Strongly oppose ,Never,Never,Occasionally,Very often,Never,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't heard of this ,Not Applicable,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Strongly disagree,Slightly agree,Oppose ,Support,Oppose ,Support,Support,Slightly agree,Slightly agree,Slightly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Fairly worried,Not very worried,Fairly worried,Not applicable,Not at all concerned,Climate change is mainly caused by natural processes,Very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Fairly concerned,Strongly agree,Semi Detached Property,Gas,2,2,No child,Female,Owned outright by household,Retired,65,Rural,15999
17,Energy supply,Yes,No,Yes,No,No,No,No,No,Yes,A lot,Strongly oppose ,Never,Never,Always ,Always ,Never,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't heard of this ,Haven't heard of this,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Strongly disagree,Strongly disagree,Strongly agree,Strongly oppose ,Oppose ,Strongly oppose ,Support,Strongly oppose ,Slightly agree,Slightly agree,Slightly agree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Not very concerned,Climate change is mainly caused by natural processes,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Slightly agree,Detached Property,Gas,1,1,No child,Female,Owned outright by household,Retired,65,Rural,NA
18,Unemployment,No,Yes,No,No,No,Yes,Yes,No,No,A fair amount,Strongly support,Never,Occasionally,Quite often ,Very often,Never,Yes,Don't want to\probably won't do this ,Haven't thought about doing this,Don't want to\probably won't do this ,Thinking about doing this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Slightly agree,Support,Support,Support,Support,Support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Not very worried,Fairly worried,Fairly worried,Fairly concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Neither agree nor disagree,Semi Detached Property,Gas,2,2,No child,Male,Being bought on mortgage,Full time,45-54,Urban,25000
19,Unemployment,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Strongly support,Never,Never,Always ,Always ,Never,Yes,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Slightly agree,The benefits far outweigh the risks,Aware of it but don't really know what it is ,Fairly worried,Not at all worried,Fairly worried,Not at all worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Not very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Semi Detached Property,Gas,2,2,No child,Male,Being bought on mortgage,Full time,25-34,Urban,35000
20,Level of taxation,No,Yes,No,Yes,No,Yes,No,No,No,A fair amount,Strongly support,Never,Never,Very often,Quite often ,Never,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Haven't thought about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Fairly concerned,Strongly agree,Detached Property,Oil,2,4,Child,Female,Being bought on mortgage,Not working not looking,25-34,Urban,50000
21,Education,No,Yes,No,Yes,Yes,No,No,No,No,A fair amount,Strongly support,Never,Occasionally,Quite often ,Always ,Never,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,No - I have never heard of them,Don't know,Slightly agree,Slightly agree,Slightly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Strongly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Not very concerned,I don't think there is such a thing as climate change,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Terrace Property,Gas,2,2,No child,Male,Being bought on mortgage,Full time,25-34,Urban,35000
22,Unemployment,No,Yes,No,Yes,No,No,Yes,No,No,A fair amount,Strongly support,Never,Quite often ,Occasionally,Always ,Never,No,Haven't thought about doing this ,Haven't heard of this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have a smart meter",I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Strongly agree,Strongly support,Support,Oppose ,Strongly support,Support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Very worried,Fairly worried,Fairly concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Terrace Property,Gas,3,5,Child,Female,Rented from local authority,Full time,16-24,Urban,50000
23,Level of taxation,No,Yes,Yes,No,No,Yes,No,No,No,A fair amount,Strongly support,Never,Never,Always ,Always ,Never,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Support,Neither support nor oppose,Strongly support,Neither support nor oppose,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Not very concerned,Climate change is entirely caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Flat or Maisonette,Gas,1,1,No child,Male,Rented from local authority,Full time,35-44,Rural,15999
24,Unemployment,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Strongly support,Never,Occasionally,Always ,Never,Occasionally,No,Not Applicable,Haven't heard of this ,Not Applicable,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Slightly agree,Support,Neither support nor oppose,Support,Support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Fairly worried,Not very worried,Fairly worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Strongly agree,Flat or Maisonette,Gas,2,2,No child,Female,Being bought on mortgage,Full time,25-34,Urban,35000
25,Unemployment,Yes,Yes,No,No,No,No,Yes,No,No,A fair amount,Strongly support,Never,Occasionally,Occasionally,Occasionally,Occasionally,No,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Have this/in the process of doing,Not my decision to make because I'm renting the property,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Strongly agree,Strongly support,Support,Strongly support,Support,Strongly support,Slightly disagree,Slightly agree,Slightly agree,The risks far outweigh the benefits ,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Not very worried,Very worried,Very concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Detached Property,Gas,1,1,No child,Male,Rented from private landlord,Full time education,25-34,Urban,15999
26,Don't know,No,No,No,No,No,No,No,No,No,A fair amount,Strongly support,Never,Never,Never,Never,Never,No,Not my decision to make because I'm renting the property,Haven't heard of this ,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Already done\ have this ,No - I have never heard of them,"I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Don't know,Don't know,Don't know,Support,Support,Strongly support,Strongly support,Strongly support,Slightly disagree,Don't know,Don't know,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Very worried,Fairly worried,Fairly worried,Not at all concerned,Climate change is entirely caused by human activity,Very concerned,Fairly concerned,Don't know,Fairly concerned,Fairly concerned,Fairly concerned,Slightly disagree,Semi Detached Property,Gas,2,4,No child,Male,Rented from private landlord,Full time,16-24,Urban,25000
27,Unemployment,No,Yes,Yes,No,No,No,No,Yes,No,A lot,Strongly support,Never,Occasionally,Always ,Always ,Never,No,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Thinking about doing this,Already done\ have this ,No - I have never heard of them,"I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Slightly disagree,Slightly disagree,The risks far outweigh the benefits ,Aware of it but don't really know what it is ,Fairly worried,Not very worried,Fairly worried,Fairly worried,Very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Not very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Detached Property,Gas,2,3,Child,Female,Being bought on mortgage,Full time,25-34,Urban,15999
28,Unemployment,No,Yes,No,Yes,No,No,No,Yes,No,A lot,Strongly support,Never,Never,Never,Never,Never,Yes,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Thinking about doing this,In the process of doing this ,"Yes, I have heard of smart meters but I do not have one","I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Slightly agree,Slightly agree,Slightly agree,Support,Support,Support,Support,Support,Slightly agree,Slightly agree,Slightly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Not at all worried,Fairly concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Neither agree nor disagree,Semi Detached Property,Gas,2,5,Child,Male,Being bought on mortgage,Full time,35-44,Urban,NA
29,Unemployment,Yes,Yes,No,No,No,No,No,No,Yes,A lot,Strongly support,Never,Occasionally,Occasionally,Never,Never,No,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Haven't thought about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,The risks far outweigh the benefits ,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Not at all worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Not very concerned,Strongly agree,Semi Detached Property,Oil,2,3,Child,Male,Being bought on mortgage,Full time,25-34,Urban,25000
30,Unemployment,No,Yes,Yes,No,No,Yes,No,No,No,A lot,Strongly support,Never,Never,Always ,Very often,Occasionally,No,Haven't thought about doing this ,Haven't thought about doing this,Haven't heard of this ,Haven't thought about doing this ,Haven't thought about doing this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Slightly agree,Strongly support,Support,Strongly support,Strongly support,Strongly support,Strongly agree,Strongly agree,Neither agree nor disagree,The benefits far outweigh the risks,Aware of it but don't really know what it is ,Fairly worried,Not very worried,Fairly worried,Not at all worried,Very concerned,Climate change is mainly caused by natural processes,Very concerned,Very concerned,Not very concerned,Not at all concerned,Very concerned,Not very concerned,Strongly agree,Terrace Property,Gas,2,2,No child,Male,Owned outright by household,Full time,55-64,Rural,35000
31,Education,Yes,Yes,No,Yes,No,No,No,No,No,A lot,Strongly support,Never,Never,Always ,Always ,Never,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Slightly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Strongly agree,Strongly agree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Fairly worried,Not very worried,Fairly worried,Not applicable,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Detached Property,Gas,2,2,No child,Female,Owned outright by household,Retired,55-64,Urban,NA
32,Unemployment,No,Yes,No,No,Yes,No,Yes,No,No,Not very much,Strongly support,Never,Never,Always ,Quite often ,Never,No,Thinking about doing this ,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Haven't thought about doing this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Slightly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly disagree,Strongly disagree,Strongly disagree,The risks far outweigh the benefits ,Aware of it but don't really know what it is ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Not very concerned,Very concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Semi Detached Property,Oil,1,1,No child,Male,Rented from private landlord,Full time,25-34,Urban,20000
